Countries,country_code,Indicies,Date,Value,Year,Month,Alpha-3 code
Emerging Markets,200,Total,1995-01-01,-1146.6896165279263,1995,1,
Emerging Markets,200,Equity,1995-01-01,-1528.1593010924053,1995,1,
Emerging Markets,200,Debt,1995-01-01,381.469684564479,1995,1,
Turkey,186,Total,1995-01-01,15,1995,1,TUR
Turkey,186,Equity,1995-01-01,7,1995,1,TUR
Turkey,186,Debt,1995-01-01,8,1995,1,TUR
South Africa,199,Total,1995-01-01,22.60538347207384,1995,1,ZAF
South Africa,199,Equity,1995-01-01,59.621698907594755,1995,1,ZAF
South Africa,199,Debt,1995-01-01,-37.016315435520916,1995,1,ZAF
Brazil,223,Total,1995-01-01,-890.6950000000002,1995,1,BRA
Brazil,223,Equity,1995-01-01,-1247.381,1995,1,BRA
Brazil,223,Debt,1995-01-01,356.686,1995,1,BRA
Chile,228,Total,1995-01-01,,1995,1,CHL
Chile,228,Equity,1995-01-01,,1995,1,CHL
Chile,228,Debt,1995-01-01,,1995,1,CHL
Mexico,273,Total,1995-01-01,,1995,1,MEX
Mexico,273,Equity,1995-01-01,,1995,1,MEX
Mexico,273,Debt,1995-01-01,-716.2,1995,1,MEX
Lebanon,446,Total,1995-01-01,,1995,1,LBN
Lebanon,446,Equity,1995-01-01,,1995,1,LBN
Lebanon,446,Debt,1995-01-01,,1995,1,LBN
Sri Lanka,524,Total,1995-01-01,,1995,1,LKA
Sri Lanka,524,Equity,1995-01-01,,1995,1,LKA
Sri Lanka,524,Debt,1995-01-01,,1995,1,LKA
India,534,Total,1995-01-01,,1995,1,IND
India,534,Equity,1995-01-01,,1995,1,IND
India,534,Debt,1995-01-01,,1995,1,IND
Korea,542,Total,1995-01-01,422.6,1995,1,KOR
Korea,542,Equity,1995-01-01,-347.4,1995,1,KOR
Korea,542,Debt,1995-01-01,770,1995,1,KOR
Malaysia,548,Total,1995-01-01,,1995,1,MYS
Malaysia,548,Equity,1995-01-01,,1995,1,MYS
Malaysia,548,Debt,1995-01-01,,1995,1,MYS
Pakistan,564,Total,1995-01-01,,1995,1,PAK
Pakistan,564,Equity,1995-01-01,,1995,1,PAK
Pakistan,564,Debt,1995-01-01,,1995,1,PAK
Philippines,566,Total,1995-01-01,,1995,1,PHL
Philippines,566,Equity,1995-01-01,,1995,1,PHL
Philippines,566,Debt,1995-01-01,,1995,1,PHL
Thailand,578,Total,1995-01-01,,1995,1,THA
Thailand,578,Equity,1995-01-01,,1995,1,THA
Thailand,578,Debt,1995-01-01,,1995,1,THA
Bulgaria,918,Total,1995-01-01,,1995,1,BGR
Bulgaria,918,Equity,1995-01-01,,1995,1,BGR
Bulgaria,918,Debt,1995-01-01,,1995,1,BGR
China,924,Total,1995-01-01,,1995,1,CHN
China,924,Equity,1995-01-01,,1995,1,CHN
China,924,Debt,1995-01-01,,1995,1,CHN
Ukraine,926,Total,1995-01-01,,1995,1,UKR
Ukraine,926,Equity,1995-01-01,,1995,1,UKR
Ukraine,926,Debt,1995-01-01,,1995,1,UKR
Czech Republic,935,Total,1995-01-01,,1995,1,CZE
Czech Republic,935,Equity,1995-01-01,,1995,1,CZE
Czech Republic,935,Debt,1995-01-01,,1995,1,CZE
Slovak Republic,936,Total,1995-01-01,,1995,1,SVK
Slovak Republic,936,Equity,1995-01-01,,1995,1,SVK
Slovak Republic,936,Debt,1995-01-01,,1995,1,SVK
Estonia,939,Total,1995-01-01,,1995,1,EST
Estonia,939,Equity,1995-01-01,,1995,1,EST
Estonia,939,Debt,1995-01-01,,1995,1,EST
Latvia,941,Total,1995-01-01,,1995,1,LVA
Latvia,941,Equity,1995-01-01,,1995,1,LVA
Latvia,941,Debt,1995-01-01,,1995,1,LVA
Serbia,942,Total,1995-01-01,,1995,1,SRB
Serbia,942,Equity,1995-01-01,,1995,1,SRB
Serbia,942,Debt,1995-01-01,,1995,1,SRB
Hungary,944,Total,1995-01-01,,1995,1,HUN
Hungary,944,Equity,1995-01-01,,1995,1,HUN
Hungary,944,Debt,1995-01-01,,1995,1,HUN
Lithuania,946,Total,1995-01-01,,1995,1,LTU
Lithuania,946,Equity,1995-01-01,,1995,1,LTU
Lithuania,946,Debt,1995-01-01,,1995,1,LTU
Mongolia,948,Total,1995-01-01,,1995,1,MNG
Mongolia,948,Equity,1995-01-01,,1995,1,MNG
Mongolia,948,Debt,1995-01-01,,1995,1,MNG
